listener_id,total_minutes,avg_completion,sessions,segment
1,555,72.63636363636364,11,0
2,505,58.57142857142857,14,0
3,539,72.25,12,0
4,246,62.833333333333336,6,2
5,400,79.0,7,0
6,267,66.0,6,2
7,386,59.0,9,0
8,374,76.42857142857143,7,0
9,215,67.0,5,2
10,258,50.0,5,2
11,619,60.0,13,1
12,434,54.45454545454545,11,0
13,456,81.75,8,0
14,383,55.333333333333336,9,0
15,507,80.625,8,0
16,528,59.666666666666664,12,0
17,630,72.6923076923077,13,1
18,158,46.333333333333336,6,2
19,331,72.16666666666667,6,2
20,407,47.0,10,0
21,507,70.5,10,0
22,569,71.0909090909091,11,0
23,860,76.53333333333333,15,1
24,448,65.77777777777777,9,0
25,420,59.888888888888886,9,0
26,627,73.6923076923077,13,1
27,695,56.4375,16,1
28,119,56.75,4,2
29,423,87.25,8,0
30,328,60.55555555555556,9,2
31,586,71.0,12,1
32,324,88.5,6,2
33,354,63.0,7,2
34,559,67.41666666666667,12,0
35,423,90.28571428571429,7,0
36,735,76.26666666666667,15,1
37,834,63.5,16,1
38,546,85.88888888888889,9,0
39,299,47.857142857142854,7,2
40,685,53.388888888888886,18,1
41,688,82.15384615384616,13,1
42,518,81.0,9,0
43,617,69.66666666666667,12,1
44,379,56.1,10,0
45,395,70.22222222222223,9,0
46,253,49.1,10,2
47,505,61.9,10,0
48,733,74.5,14,1
49,329,56.0,8,2
50,395,53.77777777777778,9,0
51,492,58.0,15,0
52,521,56.45454545454545,11,0
53,435,54.84615384615385,13,0
54,484,75.125,8,0
55,370,40.72727272727273,11,2
56,513,62.1,10,0
57,328,44.0,11,2
58,298,72.33333333333333,6,2
59,509,66.6,10,0
60,427,64.5,10,0
61,317,50.714285714285715,7,2
62,383,65.5,10,0
63,259,78.625,8,2
64,452,67.77777777777777,9,0
65,260,65.4,5,2
66,492,65.0,10,0
67,561,54.285714285714285,14,0
68,403,65.625,8,0
69,63,32.333333333333336,3,2
70,564,63.0,12,0
71,109,46.25,4,2
72,338,52.333333333333336,9,2
73,328,74.0,7,2
74,120,46.333333333333336,6,2
75,727,50.76470588235294,17,1
76,402,45.0,12,0
77,610,60.214285714285715,14,1
78,319,68.625,8,2
79,355,43.4,10,2
80,719,71.07692307692308,13,1
81,461,57.3,10,0
82,474,76.0,8,0
83,368,65.71428571428571,7,2
84,357,59.7,10,2
85,483,83.625,8,0
86,647,71.15384615384616,13,1
