listener_id,country,age_group,gender,subscription_type,signup_date
1,Canada,18-24,Female,premium,2022-04-23
2,UK,25-34,Other,free,2023-03-01
3,UK,18-24,Other,premium,2024-07-06
4,Australia,45+,Female,free,2022-08-18
5,Germany,25-34,Female,free,2022-10-10
6,USA,45+,Other,premium,2024-07-05
7,USA,35-44,Other,free,2024-07-25
8,Canada,45+,Other,premium,2022-10-14
9,Australia,45+,Female,free,2022-06-04
10,India,35-44,Male,free,2022-06-14
11,Canada,18-24,Male,free,2024-08-19
12,Australia,35-44,Male,free,2022-07-01
13,Germany,35-44,Male,free,2022-08-27
14,Germany,45+,Female,free,2023-10-11
15,Germany,18-24,Male,free,2022-12-05
16,Germany,25-34,Other,free,2024-07-26
17,Germany,35-44,Other,premium,2023-05-27
18,Australia,18-24,Male,free,2024-07-20
19,Australia,35-44,Other,premium,2022-09-23
20,UK,35-44,Female,free,2022-07-06
21,USA,35-44,Male,free,2022-02-09
22,Germany,35-44,Male,free,2024-04-01
23,India,45+,Female,free,2023-05-08
24,Australia,18-24,Other,free,2023-11-10
25,India,18-24,Female,free,2023-01-26
26,India,18-24,Female,free,2022-09-17
27,India,35-44,Other,free,2023-10-17
28,UK,45+,Female,premium,2023-12-17
29,Australia,35-44,Other,free,2022-06-25
30,India,35-44,Other,free,2024-02-13
31,Germany,18-24,Female,free,2024-02-03
32,Canada,35-44,Other,premium,2022-11-25
33,India,25-34,Female,free,2024-07-19
34,UK,35-44,Other,free,2022-07-19
35,Australia,25-34,Male,free,2023-12-12
36,UK,35-44,Other,free,2022-07-15
37,India,45+,Other,free,2024-04-05
38,Australia,45+,Female,premium,2023-08-12
39,Canada,18-24,Other,free,2023-06-15
40,India,35-44,Male,free,2022-03-03
41,UK,25-34,Male,free,2022-11-23
42,USA,25-34,Other,free,2024-06-24
43,Germany,35-44,Other,free,2022-10-08
44,UK,25-34,Male,free,2024-07-28
45,Australia,45+,Female,free,2024-02-01
46,India,25-34,Male,free,2022-08-15
47,Germany,18-24,Male,free,2023-10-01
48,India,45+,Other,premium,2022-02-27
49,Australia,45+,Other,free,2024-07-09
50,India,45+,Male,free,2023-04-22
51,USA,35-44,Female,free,2023-01-11
52,Germany,35-44,Male,free,2023-12-17
53,Germany,45+,Male,free,2022-08-31
54,Australia,35-44,Female,free,2023-01-02
55,USA,25-34,Male,premium,2024-07-24
56,UK,35-44,Male,premium,2024-04-23
57,India,35-44,Other,free,2023-05-15
58,Canada,45+,Female,premium,2024-04-17
59,India,18-24,Other,premium,2022-09-09
60,India,18-24,Other,free,2024-06-24
61,UK,18-24,Female,premium,2022-11-18
62,India,25-34,Female,free,2023-01-11
63,USA,35-44,Male,free,2023-02-13
64,USA,18-24,Other,free,2023-12-12
65,Germany,45+,Female,free,2023-05-03
66,Australia,18-24,Other,free,2022-12-09
67,Canada,18-24,Other,free,2022-08-28
68,India,35-44,Female,premium,2022-05-19
