session_id,listener_id,episode_id,listen_start_time,listen_minutes,completion_percent,device,platform
1,3114,163,2024-09-06 18:28:00,81,76,Mobile,Web
2,561,121,2024-05-27 07:45:00,81,79,Tablet,iOS
3,3556,51,2024-02-21 15:08:00,82,78,Mobile,Web
4,2454,15,2024-01-29 10:00:00,6,10,Desktop,Android
5,3529,75,2024-07-29 19:19:00,32,39,Tablet,iOS
6,1393,90,2024-07-14 21:09:00,11,11,Tablet,iOS
7,4077,299,2024-08-24 21:46:00,19,43,Desktop,Android
8,2092,342,2024-08-26 09:49:00,2,5,Tablet,Web
9,1295,38,2024-10-27 10:12:00,57,96,Tablet,Android
10,2049,234,2024-07-15 16:29:00,39,97,Mobile,iOS
11,3125,293,2024-05-31 23:52:00,46,52,Desktop,iOS
12,3243,141,2024-12-17 01:40:00,2,5,Tablet,Web
13,4070,147,2024-06-29 07:28:00,30,32,Tablet,iOS
14,2054,348,2024-03-11 21:26:00,85,83,Mobile,Web
15,323,159,2024-10-23 12:27:00,57,100,Tablet,iOS
16,739,152,2024-07-31 05:59:00,42,38,Mobile,iOS
17,4419,188,2024-05-19 05:36:00,68,86,Desktop,Android
18,2418,383,2024-02-28 15:59:00,44,37,Mobile,iOS
19,1849,347,2024-10-12 12:29:00,87,100,Mobile,Android
20,115,136,2024-08-20 12:34:00,69,100,Tablet,Web
21,2148,300,2024-11-22 12:40:00,49,40,Mobile,Web
22,1916,242,2024-10-14 11:11:00,4,5,Tablet,iOS
23,518,326,2024-06-03 22:09:00,60,57,Desktop,iOS
24,1146,24,2024-09-09 03:57:00,5,9,Mobile,iOS
25,4404,70,2024-07-08 22:53:00,50,68,Tablet,Web
26,4426,215,2024-03-20 14:09:00,76,69,Tablet,iOS
27,4009,316,2024-01-17 23:33:00,53,100,Desktop,iOS
28,3633,228,2024-02-20 23:24:00,31,50,Desktop,Web
29,2939,32,2024-04-07 04:10:00,51,100,Desktop,iOS
30,1738,329,2024-01-11 01:43:00,82,90,Desktop,iOS
31,1032,290,2024-10-10 07:04:00,27,100,Tablet,iOS
32,1909,169,2024-11-01 00:05:00,19,16,Desktop,iOS
33,1065,277,2024-03-30 03:45:00,33,28,Tablet,iOS
34,1080,8,2024-05-01 20:05:00,46,39,Desktop,iOS
35,1428,136,2024-08-03 17:57:00,7,22,Mobile,Web
36,521,244,2024-07-04 17:31:00,58,50,Tablet,iOS
37,3703,258,2024-01-23 22:29:00,29,31,Tablet,Android
38,3753,330,2024-09-02 13:42:00,4,18,Desktop,Web
39,885,252,2024-02-11 10:59:00,57,100,Tablet,iOS
40,539,65,2024-11-20 19:58:00,36,38,Tablet,Web
41,2664,196,2024-05-30 15:29:00,77,93,Tablet,Web
42,3525,51,2024-12-01 22:13:00,90,100,Tablet,Web
43,1762,221,2024-07-30 11:34:00,58,100,Desktop,Android
44,3408,374,2024-08-06 10:40:00,13,23,Tablet,Android
45,3067,79,2024-02-04 03:06:00,88,100,Mobile,iOS
46,3538,50,2024-03-07 18:59:00,48,40,Mobile,Web
47,4601,288,2024-03-03 14:01:00,43,43,Desktop,Web
48,3465,370,2024-11-03 10:39:00,7,13,Desktop,iOS
49,4735,260,2024-12-02 16:27:00,28,82,Mobile,iOS
50,2869,285,2024-05-22 19:35:00,48,100,Mobile,Android
51,4596,319,2024-11-25 19:00:00,79,78,Mobile,Web
52,2191,15,2024-12-25 10:32:00,24,48,Desktop,Android
53,51,93,2024-12-02 13:40:00,19,21,Mobile,iOS
54,252,47,2024-07-11 14:19:00,68,100,Desktop,Android
55,1290,190,2024-06-15 19:22:00,40,37,Tablet,iOS
56,431,80,2024-11-12 01:41:00,21,18,Tablet,iOS
57,2230,227,2024-09-05 20:43:00,85,100,Desktop,Android
58,2238,111,2024-06-25 14:40:00,66,100,Mobile,Android
59,4859,250,2024-06-06 01:33:00,68,68,Mobile,Android
60,4910,29,2024-06-03 07:12:00,1,5,Mobile,Android
61,2372,168,2024-09-11 14:41:00,16,100,Mobile,iOS
62,3115,273,2024-10-13 22:48:00,30,37,Desktop,iOS
63,3253,380,2024-01-10 15:41:00,6,8,Mobile,Android
64,4717,220,2024-12-29 21:51:00,74,100,Desktop,Android
65,944,208,2024-03-28 21:05:00,3,5,Desktop,Web
66,2965,46,2024-05-04 14:52:00,56,100,Tablet,Android
67,4293,41,2024-06-22 07:33:00,51,94,Desktop,iOS
68,626,262,2024-09-28 17:24:00,82,100,Mobile,Android
69,2877,373,2024-03-16 08:03:00,83,69,Mobile,iOS
70,2097,102,2024-03-19 22:22:00,23,25,Mobile,iOS
71,4048,238,2024-10-23 15:19:00,73,65,Tablet,Web
72,2648,322,2024-08-13 02:19:00,41,100,Desktop,Android
73,2481,141,2024-06-29 17:19:00,76,100,Mobile,Android
74,3783,232,2024-07-07 09:47:00,5,22,Mobile,Web
75,740,315,2024-07-15 15:47:00,77,97,Tablet,Web
76,337,231,2024-04-06 10:58:00,74,75,Tablet,Android
77,4108,78,2024-02-22 11:43:00,8,11,Tablet,iOS
78,4134,331,2024-05-06 14:56:00,23,100,Desktop,Web
79,4283,313,2024-07-09 09:39:00,21,34,Desktop,Android
80,2772,348,2024-11-19 22:05:00,77,100,Desktop,iOS
81,2701,49,2024-07-16 09:41:00,72,71,Desktop,Web
82,4938,77,2024-10-25 22:39:00,43,100,Mobile,Android
83,2542,336,2024-07-19 04:24:00,90,90,Tablet,Web
84,695,159,2024-11-25 11:12:00,72,100,Mobile,Web
85,4313,48,2024-08-04 17:21:00,83,83,Desktop,iOS
86,2971,159,2024-06-23 16:35:00,24,57,Mobile,iOS
87,1127,80,2024-02-21 17:19:00,10,19,Tablet,Web
88,4314,20,2024-11-12 04:28:00,85,100,Tablet,Android
89,1264,84,2024-11-15 05:39:00,24,23,Tablet,Android
90,358,211,2024-05-01 15:09:00,47,46,Tablet,Android
91,3678,120,2024-06-07 16:00:00,69,100,Mobile,Android
92,4673,226,2024-05-24 13:02:00,60,53,Tablet,Web
93,3430,83,2024-11-05 04:43:00,26,22,Desktop,iOS
94,3937,191,2024-12-30 17:36:00,71,100,Mobile,Android
95,688,83,2024-09-19 05:01:00,35,48,Desktop,iOS
96,1819,231,2024-07-31 01:49:00,45,100,Desktop,Web
97,3064,121,2024-07-10 07:39:00,50,100,Mobile,Android
98,812,366,2024-03-15 04:41:00,84,100,Mobile,Android
99,3871,357,2024-12-27 16:00:00,18,16,Desktop,Web
100,44,41,2024-04-20 05:06:00,3,6,Tablet,Web
101,4988,271,2024-05-27 08:06:00,55,100,Desktop,iOS
102,392,123,2024-11-14 15:36:00,54,56,Mobile,iOS
103,4095,306,2024-11-19 17:35:00,69,100,Tablet,iOS
104,1177,150,2024-11-10 12:02:00,55,100,Mobile,Web
105,3413,96,2024-02-13 17:52:00,86,86,Desktop,iOS
106,4310,279,2024-09-16 18:54:00,65,56,Mobile,Android
107,3852,23,2024-07-10 08:39:00,82,100,Tablet,iOS
108,2926,35,2024-12-02 21:26:00,45,100,Mobile,Web
109,2724,69,2024-10-06 11:33:00,6,10,Tablet,iOS
